ticker,base,quote,exchange,price,ask,bid,volume
eth-btc,eth,btc,binance,0.025752,0.025753,0.025752,226093.016
ltc-btc,ltc,btc,binance,0.00593,0.005932,0.00593,144282.43
bnb-btc,bnb,btc,binance,0.0021429,0.0021432,0.0021429,664411.3
neo-btc,neo,btc,binance,0.001128,0.001128,0.001126,286918.25
qtum-eth,qtum,eth,binance,0.007773,0.007777,0.007772,79220.77
eos-eth,eos,eth,binance,0.014006,0.014006,0.014,368232.06
snt-eth,snt,eth,binance,9.771e-05,9.801e-05,9.747e-05,3648754.0
bnt-eth,bnt,eth,binance,0.001127,0.001138,0.001126,382220.94
bcc-btc,bcc,btc,binance,0.0,0.0,0.0,0.0
gas-btc,gas,btc,binance,0.000161,0.0001612,0.000161,621559.41
bnb-eth,bnb,eth,binance,0.083174,0.083309,0.083173,60941.63
btc-usd,btc,usd,binance,7565.0,7565.0,7564.99,45367.688379
eth-usd,eth,usd,binance,194.82,194.83,194.82,810780.54989
hsr-btc,hsr,btc,binance,0.0,0.0,0.0,0.0
oax-eth,oax,eth,binance,0.0001871,0.0001901,0.0001875,239558.0
dnt-eth,dnt,eth,binance,0.0,0.0,0.0,0.0
mco-eth,mco,eth,binance,0.026301,0.026479,0.026275,6368.53
icn-eth,icn,eth,binance,0.0,0.0,0.0,0.0
mco-btc,mco,btc,binance,0.0006777,0.0006794,0.0006777,34099.23
wtc-btc,wtc,btc,binance,3.95e-05,3.95e-05,3.93e-05,2125224.15
wtc-eth,wtc,eth,binance,0.00153,0.001536,0.001527,37925.84
lrc-btc,lrc,btc,binance,4.22e-06,4.22e-06,4.21e-06,12643162.0
lrc-eth,lrc,eth,binance,0.0001644,0.00016533,0.00016377,1335235.0
qtum-btc,qtum,btc,binance,0.0002002,0.0002002,0.0002001,732444.31
yoyo-btc,yoyo,btc,binance,1.17e-06,1.18e-06,1.17e-06,7900719.0
omg-btc,omg,btc,binance,8.29e-05,8.31e-05,8.28e-05,387008.28
omg-eth,omg,eth,binance,0.003221,0.003233,0.003211,65920.99
zrx-btc,zrx,btc,binance,2.474e-05,2.475e-05,2.471e-05,4833472.0
zrx-eth,zrx,eth,binance,0.00095836,0.00096202,0.00095816,293411.0
strat-btc,strat,btc,binance,4.281e-05,4.281e-05,4.266e-05,788306.0
strat-eth,strat,eth,binance,0.001669,0.001669,0.001653,86041.06
sngls-btc,sngls,btc,binance,8.9e-07,8.9e-07,8.8e-07,12697006.0
sngls-eth,sngls,eth,binance,0.0,0.0,0.0,0.0
bqx-btc,bqx,btc,binance,3.85e-06,3.86e-06,3.85e-06,6229361.0
bqx-eth,bqx,eth,binance,0.0001504,0.0001504,0.0001492,139565.0
knc-btc,knc,btc,binance,7.561e-05,7.56e-05,7.543e-05,4644580.0
knc-eth,knc,eth,binance,0.0029348,0.002937,0.0029249,628708.0
fun-btc,fun,btc,binance,2.5e-07,2.6e-07,2.5e-07,20184711.0
fun-eth,fun,eth,binance,9.73e-06,9.75e-06,9.67e-06,6683934.0
snm-btc,snm,btc,binance,9.3e-07,9.4e-07,9.3e-07,48645815.0
snm-eth,snm,eth,binance,0.0,0.0,0.0,0.0
neo-eth,neo,eth,binance,0.043678,0.043865,0.04373,15117.29
iota-btc,iota,btc,binance,2.27e-05,2.271e-05,2.268e-05,4454036.0
iota-eth,iota,eth,binance,0.0008793,0.00088355,0.00087929,365532.0
link-btc,link,btc,binance,0.00050415,0.00050434,0.00050409,1348487.0
link-eth,link,eth,binance,0.01961066,0.01961029,0.01956387,187444.0
xvg-btc,xvg,btc,binance,3.8e-07,3.9e-07,3.8e-07,44731635.0
xvg-eth,xvg,eth,binance,1.509e-05,1.509e-05,1.497e-05,9416696.0
salt-btc,salt,btc,binance,0.0,0.0,0.0,0.0
salt-eth,salt,eth,binance,0.0,0.0,0.0,0.0
mda-btc,mda,btc,binance,4.636e-05,4.636e-05,4.631e-05,191792.0
mda-eth,mda,eth,binance,0.0018144,0.0018142,0.0017919,22115.0
mtl-btc,mtl,btc,binance,4.045e-05,4.044e-05,4.032e-05,3058660.0
mtl-eth,mtl,eth,binance,0.001565,0.001569,0.001563,153904.44
sub-btc,sub,btc,binance,0.0,0.0,0.0,0.0
sub-eth,sub,eth,binance,0.0,0.0,0.0,0.0
eos-btc,eos,btc,binance,0.0003607,0.0003607,0.0003605,1277919.67
snt-btc,snt,btc,binance,2.53e-06,2.53e-06,2.52e-06,37455085.0
etc-eth,etc,eth,binance,0.029265,0.029328,0.029251,13380.55
etc-btc,etc,btc,binance,0.0007542,0.0007544,0.0007541,325775.2
mth-btc,mth,btc,binance,7.5e-07,7.6e-07,7.5e-07,6203813.0
mth-eth,mth,eth,binance,0.0,0.0,0.0,0.0
eng-btc,eng,btc,binance,2.078e-05,2.078e-05,2.07e-05,1770089.0
eng-eth,eng,eth,binance,0.0008084,0.0008084,0.0008023,228189.0
dnt-btc,dnt,btc,binance,5.6e-07,5.7e-07,5.6e-07,6882779.0
zec-btc,zec,btc,binance,0.005996,0.006001,0.005993,40452.714
zec-eth,zec,eth,binance,0.23341,0.23341,0.23261,2503.434
bnt-btc,bnt,btc,binance,2.91e-05,2.91e-05,2.904e-05,2365590.0
ast-btc,ast,btc,binance,1.96e-06,1.97e-06,1.96e-06,1473773.0
ast-eth,ast,eth,binance,7.7e-05,7.72e-05,7.59e-05,102107.0
dash-btc,dash,btc,binance,0.011308,0.011311,0.011308,18725.729
dash-eth,dash,eth,binance,0.43824,0.43975,0.43873,826.455
oax-btc,oax,btc,binance,4.87e-06,4.87e-06,4.86e-06,3395240.0
icn-btc,icn,btc,binance,0.0,0.0,0.0,0.0
btg-btc,btg,btc,binance,0.00124,0.00124,0.001236,22642.85
btg-eth,btg,eth,binance,0.0,0.0,0.0,0.0
evx-btc,evx,btc,binance,2.155e-05,2.156e-05,2.149e-05,1299937.0
evx-eth,evx,eth,binance,0.0008384,0.00084,0.0008327,196228.0
req-btc,req,btc,binance,1.26e-06,1.27e-06,1.26e-06,2475109.0
req-eth,req,eth,binance,4.995e-05,0.0,0.0,246546.0
vib-btc,vib,btc,binance,1.64e-06,1.65e-06,1.64e-06,26363864.0
vib-eth,vib,eth,binance,6.425e-05,6.435e-05,6.364e-05,4309386.0
hsr-eth,hsr,eth,binance,0.0,0.0,0.0,0.0
trx-btc,trx,btc,binance,1.86e-06,1.87e-06,1.86e-06,336929873.0
trx-eth,trx,eth,binance,7.242e-05,7.242e-05,7.22e-05,55777796.0
powr-btc,powr,btc,binance,8.25e-06,8.25e-06,8.22e-06,2542026.0
powr-eth,powr,eth,binance,0.0003173,0.00032114,0.00031849,156183.0
ark-btc,ark,btc,binance,2.356e-05,2.36e-05,2.356e-05,675935.0
ark-eth,ark,eth,binance,0.000913,0.000919,0.000911,87014.19
yoyo-eth,yoyo,eth,binance,0.0,0.0,0.0,0.0
xrp-btc,xrp,btc,binance,2.582e-05,2.583e-05,2.581e-05,27624490.0
xrp-eth,xrp,eth,binance,0.00100261,0.00100415,0.00100172,2443860.0
mod-btc,mod,btc,binance,0.0,0.0,0.0,0.0
mod-eth,mod,eth,binance,0.0,0.0,0.0,0.0
enj-btc,enj,btc,binance,1.975e-05,1.978e-05,1.975e-05,41267988.0
enj-eth,enj,eth,binance,0.00076632,0.00076965,0.00076593,2762163.0
storj-btc,storj,btc,binance,1.33e-05,1.333e-05,1.33e-05,1778201.0
storj-eth,storj,eth,binance,0.0005175,0.000523,0.0005164,35144.0
bnb-usd,bnb,usd,binance,16.2044,16.21,16.2031,2467171.04
ven-bnb,ven,bnb,binance,0.0,0.0,0.0,0.0
yoyo-bnb,yoyo,bnb,binance,0.0,0.0,0.0,0.0
powr-bnb,powr,bnb,binance,0.00383,0.00389,0.00382,129915.3
ven-btc,ven,btc,binance,0.0,0.0,0.0,0.0
ven-eth,ven,eth,binance,0.0,0.0,0.0,0.0
kmd-btc,kmd,btc,binance,7.39e-05,7.39e-05,7.37e-05,696323.38
kmd-eth,kmd,eth,binance,0.002863,0.002884,0.002856,47390.89
nuls-bnb,nuls,bnb,binance,0.0,0.0,0.0,0.0
rcn-btc,rcn,btc,binance,9.4e-06,9.44e-06,9.41e-06,2520709.0
rcn-eth,rcn,eth,binance,0.00037604,0.0,0.0,59285.0
rcn-bnb,rcn,bnb,binance,0.0,0.0,0.0,0.0
nuls-btc,nuls,btc,binance,2.808e-05,2.81e-05,2.798e-05,1456571.0
nuls-eth,nuls,eth,binance,0.00109275,0.00110026,0.0010861,112392.0
rdn-btc,rdn,btc,binance,1.361e-05,1.362e-05,1.353e-05,408128.0
rdn-eth,rdn,eth,binance,0.0005282,0.0005316,0.0005271,22405.0
rdn-bnb,rdn,bnb,binance,0.0,0.0,0.0,0.0
xmr-btc,xmr,btc,binance,0.008117,0.008122,0.008115,52121.331
xmr-eth,xmr,eth,binance,0.31575,0.3157,0.31463,3159.045
dlt-bnb,dlt,bnb,binance,0.0,0.0,0.0,0.0
wtc-bnb,wtc,bnb,binance,0.01838,0.01844,0.01835,58117.0
dlt-btc,dlt,btc,binance,4.28e-06,4.28e-06,4.25e-06,3103565.0
dlt-eth,dlt,eth,binance,0.00016807,0.0,0.0,96595.0
amb-btc,amb,btc,binance,1.2e-06,1.2e-06,1.19e-06,9717497.0
amb-eth,amb,eth,binance,4.66e-05,4.678e-05,4.604e-05,157857.0
amb-bnb,amb,bnb,binance,0.0,0.0,0.0,0.0
bcc-eth,bcc,eth,binance,0.0,0.0,0.0,0.0
